Number,Event Name,ID,Status,Venue,Date
1,Mahanyasam,01zG9pIJWBnq5OUNpoeH,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-16T13:30:00Z
2,Mahanyasam,02naYBrRblEsz8zNVWFF,ACTIVE,Hindu Temple of St. Louis - Temple,2026-07-14T13:30:00Z
3,Upahomams & Poornahuti (final offering),1kKni1xfxIHhG4EBOVcn,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-19T16:30:00Z
4,Rudhra Homam,1z7Q6yBUW9WLueEIS6nv,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-16T14:00:00Z
5,Ganapati Puja,2WfPGsP7dWzS9G1wfBdq,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-14T22:00:00Z
6,Theertha Prasadam,4DV10qHBtEfHfFn4vXrZ,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-20T01:30:00Z
7,Samuhika Rudrabhishekam,5YGp937FlTF8btcYgwz4,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-18T23:30:00Z
8,Gomatha Puja,5o9taFO1pkHLkm1WzvC9,ACTIVE,Hindu Temple of St. Louis - Temple,2026-07-14T13:00:00Z
9,Gomatha Puja,5wtMdluWbfj4t5x5Gpy1,ACTIVE,Hindu Temple of St. Louis - Temple,2026-07-18T13:00:00Z
10,Mahanyasam,6Uca6NFKKK1awETYVYwi,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-15T13:30:00Z
11,Vigneshwara Puja,7AshlzNqxq6MooGoB0FX,ACTIVE,Hindu Temple of St. Louis - Temple,2026-07-14T14:00:00Z
12,Varaahi Homam,7ONLCZX6JqnV3g48IqxD,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-16T00:30:00Z
13,Chandi Homam,90m4ue4SNIdISM7HneHT,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-18T20:00:00Z
14,Mahanyasa Parayanam,Da9Pox7WaFuXVXlFr6nF,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-18T14:00:00Z
15,Deeksha Dharana,EIag0TeMbhAZRSPDbhmr,ACTIVE,Hindu Temple of St. Louis - Temple,2026-07-14T15:00:00Z
16,Rudhra Homam,EyJkEw05co7II16Ju9UR,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-15T14:00:00Z
17,Agni Mathanam (sacred fire generation),GIqaBaTPkw6hApUzKG4U,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-15T00:00:00Z
18,Mahanyasa Parayanam,H9PUMyZ7pIOvFdvXcFhp,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-17T14:00:00Z
19,Chandi Homam,JgOdIPzH2rj15IFZ7Dh2,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-17T20:00:00Z
20,Theertha Prasadam,K1PE1Dvn5MFNq27ArhxX,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-17T01:30:00Z
21,Kalasha Udvasana & Abhishekam to Lord Shiva,KgpHpsxW8HzU3Hxj948d,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-19T17:00:00Z
22,Theertha Prasadam,LSOBhEvIcmw50Xw7eq38,ACTIVE,Hindu Temple of St. Louis - Community Center (CEC),2026-07-18T18:00:00Z
23,Dwaja Arohanam & Shodasha Stambha Puja,OTVb2HjjBJF3z7yDVDBc,ACTIVE,Hindu Temple of St. Louis - Yagashala,2026-07-14T23:30:00Z
